state,region,wwii_army,wwii_navy
Alabama,South,5114,1128
Alaska,West,91,20
Arizona,Southwest,1613,306
Arkansas,South,3814,836
California,West,17022,6782
Colorado,Rockies,2697,781
Connecticut,North,4347,1029
Delaware,South,579,121
District of Columbia,South,3029,382
Florida,South,3540,1134
Georgia,South,5701,1079
Hawaii,West,689,116
Idaho,Rockies,1419,369
Illinois,Midwest,18601,3750
Indiana,Midwest,8131,1507
Iowa,Midwest,5633,1412
Kansas,Midwest,4526,966
Kentucky,South,6802,1130
Louisiana,South,3964,1051
Maine,North,2156,407
Maryland,South,4375,788
Massachusetts,North,10033,3049
Michigan,Midwest,12885,2573
Minnesota,Midwest,6462,1496
Mississippi,South,3555,632
Missouri,Midwest,8003,1870
Montana,Rockies,1553,317
Nebraska,Midwest,2976,679
Nevada,Rockies,349,76
New Hampshire,North,1203,329
New Jersey,North,10372,2193
New Mexico,Southwest,2032,231
New York,North,31215,5270
North Carolina,South,7109,1384
North Dakota,Midwest,1626,315
Ohio,Midwest,16828,3163
Oklahoma,Southwest,5474,989
Oregon,West,2835,922
Pennsylvania,North,26554,4163
Rhode Island,North,1669,488
South Carolina,South,3423,730
South Dakota,Midwest,1426,300
Tennessee,South,6528,1199
Texas,Southwest,15764,3107
Utah,Rockies,1450,376
Vermont,North,874,159
Virginia,South,6007,1262
Washington,West,3941,1505
West Virginia,South,4865,963
Wisconsin,Midwest,7038,1349
Wyoming,Rockies,652,187
